UserId,ContinentId,RegionId,CountryId,CityId
1,5,9,21,55
2,5,10,23,58
3,1,2,6,14
4,1,2,6,14
5,1,1,2,3
6,1,2,4,9
7,3,5,13,33
8,3,5,13,33
9,2,3,9,22
10,2,3,8,19
11,4,8,19,49
12,3,5,12,28
13,4,8,19,48
14,5,10,22,57
15,2,3,8,19
16,1,2,5,12
17,5,10,22,57
18,3,6,15,38
19,2,3,8,18
20,3,6,15,37
21,3,5,13,31
22,5,9,21,54
23,2,3,7,16
24,5,10,23,59
25,5,10,22,56
26,1,2,5,11
27,1,2,4,10
28,3,5,13,32
29,1,1,2,3
30,2,3,8,18
31,2,4,11,26
32,5,10,23,58
33,5,10,23,59
34,1,2,4,9
35,5,9,21,53
36,1,1,3,6
37,4,7,17,45
38,4,8,19,50
39,5,9,21,53
40,1,2,6,14
41,5,9,21,53
42,1,1,3,7
43,3,5,13,31
44,3,5,12,28
45,2,3,8,19
46,1,1,1,2
47,4,8,18,46
48,2,3,8,20
49,4,7,16,40
50,2,4,11,25
51,2,4,10,23
52,5,9,21,53
53,1,1,3,6
54,4,7,17,44
55,4,7,17,45
56,2,4,10,23
57,2,3,7,16
58,1,1,1,1
59,5,10,22,56
60,5,10,22,56
61,1,2,6,15
62,1,1,1,2
63,1,1,3,8
64,1,1,2,4
65,4,8,19,50
66,5,9,21,53
67,1,2,4,10
68,4,7,17,45
69,1,2,5,11
70,2,3,9,22
71,3,6,14,36
72,4,7,17,43
73,5,9,20,52
74,1,1,2,3
75,1,2,5,12
76,2,3,7,17
77,2,3,8,19
78,5,10,23,59
79,4,8,18,46
80,2,3,8,19
81,5,10,23,58
82,3,5,12,30
83,3,5,12,30
84,2,4,11,26
85,1,2,4,9
86,5,10,22,56
87,1,1,1,1
88,1,2,5,11
89,1,2,6,14
90,2,3,7,17
91,1,1,3,8
92,1,1,1,2
93,4,7,16,40
94,5,10,23,58
95,1,1,3,8
96,2,3,8,18
97,3,5,12,30
98,5,9,21,55
99,4,7,16,41
100,4,8,18,46
101,3,6,14,35
102,2,4,11,25
103,1,2,5,12
104,5,9,20,51
105,4,8,19,48
106,1,1,1,2
107,4,7,17,43
108,1,1,2,5
109,4,7,17,44
110,4,8,19,49
111,1,1,3,8
112,2,4,11,26
113,1,1,3,8
114,3,6,14,34
115,5,9,21,55
116,1,1,2,5
117,2,4,10,24
118,5,10,23,58
119,2,3,8,18
120,1,1,3,8
121,3,5,12,29
122,3,5,12,30
123,4,7,16,40
124,2,3,8,19
125,5,10,22,57
126,3,5,13,31
127,2,3,7,17
128,5,10,22,57
129,5,9,21,55
130,3,5,12,30
131,1,1,1,2
132,3,6,14,36
133,3,5,13,33
134,1,2,4,9
135,3,6,15,38
136,4,8,19,50
137,1,1,3,7
138,4,7,17,43
139,1,2,4,9
140,4,7,17,45
141,2,4,11,25
142,1,1,1,1
143,5,10,23,58
144,1,2,4,10
145,3,6,14,36
146,1,2,5,11
147,5,10,22,56
148,4,7,17,44
149,4,8,19,48
150,2,4,11,26
151,3,5,12,28
152,3,6,15,38
153,4,8,18,47
154,4,8,19,50
155,1,1,1,2
156,4,7,16,40
157,1,1,3,7
158,2,3,7,17
159,4,8,19,49
160,1,2,6,15
161,4,8,19,48
162,3,5,12,28
163,1,2,6,14
164,2,3,8,20
165,3,5,13,32
166,4,8,18,46
167,3,6,14,36
168,5,10,22,56
169,5,9,20,52
170,4,7,17,45
171,3,6,14,36
172,2,3,8,18
173,2,4,11,25
174,1,1,3,8
175,2,4,10,23
176,5,9,21,55
177,2,4,11,26
178,1,1,3,7
179,3,6,15,39
180,5,10,22,57
181,5,9,20,52
182,2,3,7,17
183,2,4,11,27
184,3,5,13,32
185,1,2,6,15
186,2,3,7,16
187,1,2,6,14
188,5,10,23,59
189,4,7,17,45
190,4,8,19,50
191,4,8,19,49
192,5,10,22,57
193,1,1,3,7
194,5,9,21,53
195,1,1,2,4
196,3,5,12,29
197,3,6,14,36
198,2,3,9,22
199,1,2,4,9
200,1,2,5,12
201,4,8,19,49
202,2,3,8,19
203,2,3,8,19
204,5,9,21,55
205,1,2,4,9
206,5,9,21,55
207,5,9,21,55
208,3,6,14,36
209,1,2,4,10
210,1,2,4,10
211,2,3,7,17
212,3,6,14,35
213,1,2,4,10
214,2,4,11,27
215,1,1,3,7
216,3,5,13,32
217,1,1,1,2
218,4,7,16,42
219,1,1,2,4
220,1,2,5,12
221,1,2,5,11
222,4,8,19,50
223,1,1,2,4
224,2,4,11,26
225,3,6,14,35
226,3,5,13,31
227,4,7,16,41
228,4,8,19,48
229,2,4,10,24
230,4,8,19,49
231,2,3,8,19
232,5,10,23,59
233,3,5,12,30
234,4,7,17,44
235,5,9,20,52
236,4,8,18,47
237,5,9,20,51
238,3,5,13,32
239,1,1,2,3
240,3,5,12,30
241,1,2,5,11
242,5,9,21,53
243,1,2,6,14
244,1,2,6,14
245,1,2,6,15
246,3,6,15,38
247,3,6,14,34
248,5,10,22,56
249,2,4,11,25
250,2,3,7,17
251,1,1,2,3
252,1,1,1,1
253,2,4,10,23
254,5,9,21,55
255,3,5,13,31
256,5,9,21,53
257,1,1,3,6
258,1,1,3,6
259,4,8,19,50
260,1,1,3,7
261,1,1,2,4
262,2,4,10,24
263,5,9,21,55
264,4,7,16,41
265,1,1,3,6
266,4,8,19,50
267,4,8,19,50
268,4,8,19,48
269,5,9,21,54
270,1,2,6,15
271,5,10,23,58
272,2,3,8,19
273,4,8,19,48
274,3,6,14,35
275,4,8,18,46
276,3,6,15,38
277,3,6,15,38
278,3,6,15,37
279,4,8,18,46
280,4,7,17,44
281,1,1,3,8
282,4,8,19,49
283,3,5,13,32
284,2,3,8,20
285,3,5,13,31
286,5,10,23,58
287,5,9,20,51
288,4,8,19,50
289,3,5,12,28
290,4,8,18,47
291,2,4,10,23
292,4,7,16,41
293,3,6,15,38
294,1,2,6,15
295,2,3,7,16
296,1,1,2,4
297,1,2,4,9
298,2,4,11,26
299,3,5,12,29
300,1,2,4,10
301,2,4,11,25
302,3,6,14,36
303,1,2,6,14
